"NAMIBIA","NAD",516
"NAMIBIA","ZAR",710
"NAURU","AUD",36
"NEPAL","NPR",524
"NETHERLANDS (THE)","EUR",978
"NEW CALEDONIA","XPF",953
"NEW ZEALAND","NZD",554
"NICARAGUA","NIO",558
"NIGER (THE)","XOF",952
"NIGERIA","NGN",566
"NIUE","NZD",554
"NORFOLK ISLAND","AUD",36
"NORTHERN MARIANA ISLANDS (THE)","USD",840
"NORWAY","NOK",578
"OMAN","OMR",512
"PAKISTAN","PKR",586
"PALAU","USD",840
"PALESTINE, STATE OF",,
"PANAMA","PAB",590
"PANAMA","USD",840
"PAPUA NEW GUINEA","PGK",598
"PARAGUAY","PYG",600
"PERU","PEN",604
"PHILIPPINES (THE)","PHP",608
"PITCAIRN","NZD",554
"POLAND","PLN",985
"PORTUGAL","EUR",978
"PUERTO RICO","USD",840
"QATAR","QAR",634
"ROMANIA","RON",946
"RUSSIAN FEDERATION (THE)","RUB",643
"RWANDA","RWF",646
"RÉUNION","EUR",978
"SAINT BARTHÉLEMY","EUR",978
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA","SHP",654
"SAINT KITTS AND NEVIS","XCD",951
"SAINT LUCIA","XCD",951
"SAINT MARTIN (FRENCH PART)","EUR",978
"SAINT PIERRE AND MIQUELON","EUR",978
"SAINT VINCENT AND THE GRENADINES","XCD",951
"SAMOA","WST",882
"SAN MARINO","EUR",978
"SAO TOME AND PRINCIPE","STN",930
"SAUDI ARABIA","SAR",682
"SENEGAL","XOF",952
"SERBIA","RSD",941
"SEYCHELLES","SCR",690
"SIERRA LEONE","SLL",694
"SINGAPORE","SGD",702
"SINT MAARTEN (DUTCH PART)","ANG",532
"SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS ""SUCRE""","XSU",994
"SLOVAKIA","EUR",978
"SLOVENIA","EUR",978
"SOLOMON ISLANDS","SBD",90
"SOMALIA","SOS",706
"SOUTH AFRICA","ZAR",710
"SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS",,
"SOUTH SUDAN","SSP",728
"SPAIN","EUR",978
"SRI LANKA","LKR",144
"SUDAN (THE)","SDG",938
"SURINAME","SRD",968
"SVALBARD AND JAN MAYEN","NOK",578
"SWAZILAND","SZL",748
"SWEDEN","SEK",752
"SWITZERLAND","CHE",947
"SWITZERLAND","CHF",756
"SWITZERLAND","CHW",948
"SYRIAN ARAB REPUBLIC","SYP",760
"TAIWAN (PROVINCE OF CHINA)","TWD",901
"TAJIKISTAN","TJS",972
"TANZANIA, UNITED REPUBLIC OF","TZS",834
"THAILAND","THB",764
"TIMOR-LESTE","USD",840
"TOGO","XOF",952
"TOKELAU","NZD",554
"TONGA","TOP",776
"TRINIDAD AND TOBAGO","TTD",780
"TUNISIA","TND",788
"TURKEY","TRY",949
"TURKMENISTAN","TMT",934
"TURKS AND CAICOS ISLANDS (THE)","USD",840
"TUVALU","AUD",36
"UGANDA","UGX",800
"UKRAINE","UAH",980
"UNITED ARAB EMIRATES (THE)","AED",784
"UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE)","GBP",826
"UNITED STATES MINOR OUTLYING ISLANDS (THE)","USD",840
"UNITED STATES OF AMERICA (THE)","USD",840
"UNITED STATES OF AMERICA (THE)","USN",997
"URUGUAY","UYI",940
"URUGUAY","UYU",858
"UZBEKISTAN","UZS",860
"VANUATU","VUV",548
"VENEZUELA (BOLIVARIAN REPUBLIC OF)","VEF",937
"VIET NAM","VND",704
"VIRGIN ISLANDS (BRITISH)","USD",840
"VIRGIN ISLANDS (U.S.)","USD",840
"WALLIS AND FUTUNA","XPF",953
"WESTERN SAHARA","MAD",504
"YEMEN","YER",886
"ZAMBIA","ZMW",967
"ZIMBABWE","ZWL",932
"ÅLAND ISLANDS","EUR",978
